id,active,name,orfeo_id
__export__.crm_case_channel_1,True,Telefónico,6
__export__.crm_case_channel_2,True,Presencial,1
__export__.crm_case_channel_3,True,SDQS,3
__export__.crm_case_channel_4,True,atnciudadano@idu.gov.co,3
__export__.crm_case_channel_5,True,Twitter,3
__export__.crm_case_channel_6,True,Facebook,3
__export__.crm_case_channel_7,True,Buzón escrito,9
__export__.crm_case_channel_8,True,Buzón telefónico,6
__export__.crm_case_channel_9,True,Escrito,8
__export__.crm_case_channel_10,True,defensordelciudadano@idu.gov.co,3
__export__.crm_case_channel_11,True,E-mail idu,3
__export__.crm_case_channel_12,True,Chat,3
__export__.crm_case_channel_13,True,Evento,5
__export__.crm_case_channel_14,True,Feria,5
__export__.crm_case_channel_15,True,Actividad pedagógica,5
__export__.crm_case_channel_16,True,Actividad lúdica,5
__export__.crm_case_channel_17,True,Página reporte de daños,3
