"id","code","name"
"__export__.ocs_orfeo_dependencia_1","105","Dirección General  -  DG"
"__export__.ocs_orfeo_dependencia_2","115","Oficina Asesora de Planeación  -  OAP"
"__export__.ocs_orfeo_dependencia_3","125","Oficina de Atención al Ciudadano  -  OTC"
"__export__.ocs_orfeo_dependencia_4","135","Oficina de Control Interno  -  OCI"
"__export__.ocs_orfeo_dependencia_5","145","Oficina Asesora de Comunicaciones  -  OAC"
"__export__.ocs_orfeo_dependencia_6","155","Oficina de Control Disciplinario  -  OCD"
"__export__.ocs_orfeo_dependencia_7","205","Subdirección General de Desarrollo Urbano  -  SGDU"
"__export__.ocs_orfeo_dependencia_8","215","Dirección Técnica Estratégica  -  DTE"
"__export__.ocs_orfeo_dependencia_9","225","Dirección Técnica de Proyectos  -  DTP"
"__export__.ocs_orfeo_dependencia_10","305","Subdirección General de Infraestructura  -  SGI"
"__export__.ocs_orfeo_dependencia_11","315","Dirección Técnica de Diseño de Proyectos  -  DTD"
"__export__.ocs_orfeo_dependencia_12","325","Dirección Técnica de Predios  -  DTDP"
"__export__.ocs_orfeo_dependencia_13","335","Dirección Técnica de Construcciones  -  DTC"
"__export__.ocs_orfeo_dependencia_14","336","Subdirección Técnica de Ejecución del Subsistema Vial  -  STESV"
"__export__.ocs_orfeo_dependencia_15","346","Subdirección Técnica de Ejecución del Subsistema de Transporte  -  STEST"
"__export__.ocs_orfeo_dependencia_16","355","Dirección Técnica de Mantenimiento  -  DTM"
"__export__.ocs_orfeo_dependencia_17","356","Subdirección Técnica de Mantenimiento del Subsistema Vial  -  STMSV"
"__export__.ocs_orfeo_dependencia_18","366","Subdirección Técnica de Mantenimiento del Subsistema de Transporte  -  STMST"
"__export__.ocs_orfeo_dependencia_19","375","Dirección Técnica de Administración de Infraestructura  -  DTAI"
"__export__.ocs_orfeo_dependencia_20","405","Subdirección General Jurídica  -  SGJ"
"__export__.ocs_orfeo_dependencia_21","415","Dirección Técnica de Procesos Selectivos  -  DTPS"
"__export__.ocs_orfeo_dependencia_22","425","Dirección Técnica de Gestión Judicial  -  DTGJ"
"__export__.ocs_orfeo_dependencia_23","435","Dirección Técnica de Gestión Contractual  -  DTGC"
"__export__.ocs_orfeo_dependencia_24","505","Subdirección General de Gestión Corporativa  -  SGGC"
"__export__.ocs_orfeo_dependencia_25","515","Dirección Técnica Administrativa y Financiera  -  DTAF"
"__export__.ocs_orfeo_dependencia_26","516","Subdirección Técnica de Recursos Humanos  -  STRH"
"__export__.ocs_orfeo_dependencia_27","526","Subdirección Técnica de Recursos Físicos  -  STRF"
"__export__.ocs_orfeo_dependencia_28","536","Subdirección Técnica de Recursos Tecnológicos  -  STRT"
"__export__.ocs_orfeo_dependencia_29","546","Subdirección Técnica de Presupuesto y Contabilidad  -  STPC"
"__export__.ocs_orfeo_dependencia_30","556","Subdirección Técnica de Tesorería y Recaudo  -  STTR"
"__export__.ocs_orfeo_dependencia_31","565","Dirección Técnica de Apoyo a la Valorización  -  DTAV"
"__export__.ocs_orfeo_dependencia_32","566","Subdirección Técnica Jurídica y de Ejecuciones Fiscales  -  STJEF"
"__export__.ocs_orfeo_dependencia_33","576","Subdirección Técnica de Operaciones  -  STOP"
