plan_id/id,id,state,tipo_proceso/id,clasificacion_id/id,nombre_proyecto_idu,centro_costo,nombre_punto_inversion,dependencia/id,dependencia/name,description,presupuesto,fuente/id,plazo_de_ejecucion,unidad_meta_fisica/id,cantidad_meta_fisica,localidad,fecha_radicacion,fecha_crp,fecha_acta_inicio,tipo_proceso_seleccion/id
__export__.plan_contratacion_idu_plan_1,__export__.plan_contratacion_idu_item_1,Por radicar,__export__.plan_contratacion_idu_plan_tipo_proceso_item_12,__export__.plan_contratacion_idu_clasificador_proyectos_11,PROGRAMA DE COMUNICACIONES,30607,PROGRAMA DE COMUNICACIONES,__export__.hr_department_1,OAC,"Se requiere contratar el servicio de monitoreo de la información que se publica en los diferentes medios de comunicación, respecto al AC.523/13 y en general del sector, con el fin de hacer el seguimiento continuo para la retroalimentación que genera unidad de criterio para el manejo de la comunicación del IDU.",22057000,__export__.plan_contratacion_idu_fuente_59,12 meses,,,Entidad,2014-04-01,2014-05-01,2014-05-30,__export__.plan_contratacion_idu_plan_tipo_proceso_seleccion_item_6
__export__.plan_contratacion_idu_plan_1,__export__.plan_contratacion_idu_item_2,Por radicar,__export__.plan_contratacion_idu_plan_tipo_proceso_item_12,__export__.plan_contratacion_idu_clasificador_proyectos_11,PROGRAMA DE COMUNICACIONES,30607,PROGRAMA DE COMUNICACIONES,__export__.hr_department_1,OAC,"Se requiere la compra de equipos de audio y video,  con el fin de realizar el registro fílmico y la divulgación respectiva dentro y fuera de la entidad,  de la información relacionada con las obras y demás actividades que se requieren para informar a la ciudadanía sobre el avance de las obras y actividades relacionadas con el AC.523/13.",80000000,__export__.plan_contratacion_idu_fuente_59,1 mes,,,Entidad,2014-02-01,2014-06-01,2014-06-30,__export__.plan_contratacion_idu_plan_tipo_proceso_seleccion_item_1
__export__.plan_contratacion_idu_plan_1,__export__.plan_contratacion_idu_item_3,Por radicar,__export__.plan_contratacion_idu_plan_tipo_proceso_item_12,__export__.plan_contratacion_idu_clasificador_proyectos_11,PROGRAMA DE COMUNICACIONES,30607,PROGRAMA DE COMUNICACIONES,__export__.hr_department_1,OAC,"Se requiere contratar el servicio para la actualización y rediseño de la página web del IDU, la cual permita a la ciudadanía facilidad en la búsqueda y manejo de la información concerniente a la ejecución de las obras que están contempladas en el AC. 523/13",90000000,__export__.plan_contratacion_idu_fuente_59,12 meses,,,Entidad,2014-02-01,2014-06-01,2014-06-30,__export__.plan_contratacion_idu_plan_tipo_proceso_seleccion_item_1
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
__export__.plan_contratacion_idu_plan_1,__export__.plan_contratacion_idu_item_4,Por radicar,__export__.plan_contratacion_idu_plan_tipo_proceso_item_12,__export__.plan_contratacion_idu_clasificador_proyectos_11,PROGRAMA DE COMUNICACIONES,30607,PROGRAMA DE COMUNICACIONES,__export__.hr_department_1,OAC,"Se requiere contratar el servicio de impresión de piezas de divulgación, como apoyo en los actos de entrega de obras, ruedas de prensa y participación en general de la entidad en diferentes actividades externas, relacionadas  con el AC. 523/13",40000000,__export__.plan_contratacion_idu_fuente_59,A monto agotable,,,Entidad,2014-04-01,2014-06-01,2014-06-30,__export__.plan_contratacion_idu_plan_tipo_proceso_seleccion_item_6
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
__export__.plan_contratacion_idu_plan_1,__export__.plan_contratacion_idu_item_5,Por radicar,__export__.plan_contratacion_idu_plan_tipo_proceso_item_12,__export__.plan_contratacion_idu_clasificador_proyectos_11,PROGRAMA DE COMUNICACIONES,30607,PROGRAMA DE COMUNICACIONES,__export__.hr_department_1,OAC,"Se requiere contratar el servicio de impresión de material  POP, que apoye la gestión de la entidad en relación con el AC.523/13.",40000000,__export__.plan_contratacion_idu_fuente_59,A monto agotable,,,Entidad,2014-06-01,2014-07-01,2014-07-30,__export__.plan_contratacion_idu_plan_tipo_proceso_seleccion_item_6
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
__export__.plan_contratacion_idu_plan_1,__export__.plan_contratacion_idu_item_6,Por radicar,__export__.plan_contratacion_idu_plan_tipo_proceso_item_12,__export__.plan_contratacion_idu_clasificador_proyectos_11,PROGRAMA DE COMUNICACIONES,30607,PROGRAMA DE COMUNICACIONES,__export__.hr_department_1,OAC,"Se requiere contratar el servicio de logística, para el acompañamiento y ejecución de las diferentes actividades que realiza la entidad con la comunidad, relacionadas con el AC. 523/13",90000000,__export__.plan_contratacion_idu_fuente_59,A monto agotable,,,Entidad,2014-04-01,2014-08-01,2014-08-30,__export__.plan_contratacion_idu_plan_tipo_proceso_seleccion_item_1
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
__export__.plan_contratacion_idu_plan_1,__export__.plan_contratacion_idu_item_7,Por radicar,__export__.plan_contratacion_idu_plan_tipo_proceso_item_12,__export__.plan_contratacion_idu_clasificador_proyectos_11,PROGRAMA DE COMUNICACIONES,30607,PROGRAMA DE COMUNICACIONES,__export__.hr_department_1,OAC,"Se requiere contratar el servicio de realización video multimedia y 3D, que permitan aproximar a la comunidad a la visualización  de las obras terminadas relacionadas con el AC,523/13, facilitando así la comunicación, mostrando los beneficios  y generando sentido de pertenencia por las obras que realiza la entidad.",51000000,__export__.plan_contratacion_idu_fuente_59,A monto agotable,,,Entidad,2014-02-01,2014-03-15,2014-03-30,__export__.plan_contratacion_idu_plan_tipo_proceso_seleccion_item_5
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
__export__.plan_contratacion_idu_plan_1,__export__.plan_contratacion_idu_item_8,Por radicar,__export__.plan_contratacion_idu_plan_tipo_proceso_item_12,__export__.plan_contratacion_idu_clasificador_proyectos_9,INVESTIGACION Y DESARROLLO,20118,DESARROLLO DE COMPETENCIAS,__export__.hr_department_9,STRH,Desarrollo de competencias,150000000,__export__.plan_contratacion_idu_fuente_26,6 meses,N/A,N/A,Entidad,2014-06-10,2014-09-01,2014-09-30,__export__.plan_contratacion_idu_plan_tipo_proceso_seleccion_item_5
,,,,,,,,,,,,,,,,,,,,
__export__.plan_contratacion_idu_plan_1,__export__.plan_contratacion_idu_item_9,Por radicar,__export__.plan_contratacion_idu_plan_tipo_proceso_item_12,__export__.plan_contratacion_idu_clasificador_proyectos_8,Evaluación del riesgo sismico de los puentes vehiculares y peatonales de la ciudad de Bogotá y definición de estratégias de gestión del riesgo fase I,20708,Estudios técnicos transversales,__export__.hr_department_10,DTE,Evaluación del riesgo sismico de los puentes vehiculares y peatonales de la ciudad de Bogotá y definición de estratégias de gestión del riesgo fase I,350000000,__export__.plan_contratacion_idu_fuente_2,6 meses,Estudio,1,Entidad,2014-02-01,2014-06-30,2014-06-30,__export__.plan_contratacion_idu_plan_tipo_proceso_seleccion_item_2
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
