id,phase_ids/id,phase_ids/duration,phase_ids/date_start,phase_ids/constraint_date_end,phase_ids/name,name,use_phases,use_tasks,alias_model_id/id,alias_name,state
__export__.project_project_1,__export__.project_phase_1,,,,Factibilidad,Avenida José Celestino Mutis (AC 63) desde Carrera 114 hasta Carrera 122,TRUE,TRUE,project.model_project_task,project-cupo-1,draft
,__export__.project_phase_2,,,,Adquisición Predial,,,,,,
,__export__.project_phase_3,,,,Estudios y Diseños,,,,,,
,__export__.project_phase_4,,,,Construcción,,,,,,
__export__.project_project_2,__export__.project_phase_5,,,,Factibilidad,"Avenida Ciudad de Cali, desde Avenida Bosa hasta Avenida San Bernardino",TRUE,TRUE,project.model_project_task,project-cupo-2,draft
,__export__.project_phase_6,,,,Adquisición Predial,,,,,,
,__export__.project_phase_7,,,,Estudios y Diseños,,,,,,
,__export__.project_phase_8,,,,Construcción,,,,,,
__export__.project_project_3,__export__.project_phase_9,,,,Factibilidad,"Avenida Bosa, desde Avenida Agoberto Mejía (AK 80) hasta Avenida Ciudad de Cali ",TRUE,TRUE,project.model_project_task,project-cupo-3,draft
,__export__.project_phase_10,,,,Adquisición Predial,,,,,,
,__export__.project_phase_11,,,,Estudios y Diseños,,,,,,
,__export__.project_phase_12,,,,Construcción,,,,,,
__export__.project_project_4,__export__.project_phase_13,,,,Factibilidad,Avenida Bosa desde Avenida Ciudad de Cali hasta Avenida Tintal ,TRUE,TRUE,project.model_project_task,Project-cupo-4,draft
,__export__.project_phase_14,,,,Adquisición Predial,,,,,,
,__export__.project_phase_15,,,,Estudios y Diseños,,,,,,
,__export__.project_phase_16,,,,Construcción,,,,,,
__export__.project_project_5,__export__.project_phase_17,,,,Factibilidad,Avenida de los Cerros (Avenida Circunvalar) desde Calle 9 hasta Avenida de los Comuneros. ,TRUE,TRUE,project.model_project_task,Project-cupo-5,draft
,__export__.project_phase_18,,,,Adquisición Predial,,,,,,
,__export__.project_phase_19,,,,Estudios y Diseños,,,,,,
,__export__.project_phase_20,,,,Construcción,,,,,,
__export__.project_project_6,__export__.project_phase_21,,,,Factibilidad, PAR VIAL - Carrera 6 y Carrera 7 desde Avenida de los Comuneros hasta Avenida  de la Hortúa (AC 1) ,TRUE,TRUE,project.model_project_task,Project-cupo-6,draft
,__export__.project_phase_22,,,,Adquisición Predial,,,,,,
,__export__.project_phase_23,,,,Estudios y Diseños,,,,,,
,__export__.project_phase_24,,,,Construcción,,,,,,
__export__.project_project_7,__export__.project_phase_25,,,,Factibilidad, Avenida de La Hortúa (AC 1) desde la Carrera 6 hasta Avenida Fernando Mazuera (AK 10) ,TRUE,TRUE,project.model_project_task,project-cupo-7,draft
,__export__.project_phase_26,,,,Adquisición Predial,,,,,,
,__export__.project_phase_27,,,,Estudios y Diseños,,,,,,
,__export__.project_phase_28,,,,Construcción,,,,,,
__export__.project_project_8,__export__.project_phase_29,,,,Factibilidad,Avenida El Rincón (KR 91 y AC 131A) desde Carrera 91 hasta Avenida la Conejera (TV97),TRUE,TRUE,project.model_project_task,Project-cupo-8,draft
,__export__.project_phase_30,,,,Adquisición Predial,,,,,,
,__export__.project_phase_31,,,,Estudios y Diseños,,,,,,
,__export__.project_phase_32,,,,Construcción,,,,,,
