"id","code","name"
__export__.bms_structure_type_0,0,"No Definido"
__export__.bms_structure_type_1,1,"Monolitico de Infraestructura Tipo Pendulo (Con o sin Viga Cabezal)"
__export__.bms_structure_type_2,2,"Monolitico de Infraestructura tipo portico"
__export__.bms_structure_type_3,3,"Monolitico de Infraestructura tipo pantalla"
__export__.bms_structure_type_4,4,"No Monolitico de Infraestructura tipo Péndulo tipo Péndulo con Superestructura Isostatica en Viga de Cajón"
__export__.bms_structure_type_5,5,"No Monolitico Infraestructura tipo Péndulo con Superestructura Isostatica con Viga Mas Placa"
__export__.bms_structure_type_6,6,"No Monolitico. Infraestructura tipo Pórtico con Súper Estructura Isostatica con Viga Mas Placa"
__export__.bms_structure_type_7,7,"No Monolitico. Infraestructura tipo Pórtico con Superestructura Isostatica Viga Cajón"
__export__.bms_structure_type_8,8,"No Monolitico. Infraestructura tipo Pantalla con Superestructura Isostatica con Viga Cajón"
__export__.bms_structure_type_9,9,"No Monolitico. Infraestructura tipo Pantalla con Superestructura Isostatica con Viga Mas losa"
__export__.bms_structure_type_10,10,"No Monolitico. Infraestructura tipo Péndulo con Superestructura Hiperestatica con Viga Cajón"
__export__.bms_structure_type_11,11,"No Monolitico. Infraestructura tipo Pórtico con Superestructura Hiperestatica con Viga de Cajón"
__export__.bms_structure_type_12,12,"No Monolitico. Infraestructura tipo Pórtico con Superestructura Hiperestatica con Otros Sistemas Diferentes a la Viga de Cajón"
__export__.bms_structure_type_13,13,"No Monolitico. Infraestructura tipo Pantalla con Superestructura Hiperestatica con Viga de Cajón"
__export__.bms_structure_type_14,14,"No Monolitico. Infraestructura tipo Pantalla con Superestructura Hiperestatica con Otros Sistemas Diferentes a la Viga de Cajón"
__export__.bms_structure_type_15,15,"Tipo vox-coulvert"
__export__.bms_structure_type_16,16,"Puente peatonal tipo 1"
__export__.bms_structure_type_17,17,"Puente peatonal tipo 2"
__export__.bms_structure_type_18,18,"Puente peatonal tipo 3"
__export__.bms_structure_type_19,19,"Puente peatonal tipo 4"
__export__.bms_structure_type_20,20,"Puente peatonal tipo 5"
__export__.bms_structure_type_21,21,"Puente peatonal tipo 6"
__export__.bms_structure_type_22,22,"Puente peatonal tipo 7"
__export__.bms_structure_type_23,23,"Puente peatonal tipo 8"
__export__.bms_structure_type_24,24,"Puente peatonal tipo 9"
__export__.bms_structure_type_25,25,"Puente peatonal tipo 10"
__export__.bms_structure_type_26,26,"Puente peatonal tipo 11"
__export__.bms_structure_type_26,27,"Puente peatonal tipo 12"
